Address_ID,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Location_ID,Weather_ID
0,,Outerbelt E,R,Dublin,Franklin,OH,43017,US,US/Eastern,KOSU,0,0
1,,I-70 E,R,Dayton,Montgomery,OH,45424,US,US/Eastern,KFFO,1,1
2,,I-75 S,R,Cincinnati,Hamilton,OH,45203,US,US/Eastern,KLUK,2,2
3,,I-77 N,R,Akron,Summit,OH,44311,US,US/Eastern,KAKR,3,3
4,,I-75 S,R,Cincinnati,Hamilton,OH,45217,US,US/Eastern,KLUK,4,4
5,,State Route 32,R,Williamsburg,Clermont,OH,45176,US,US/Eastern,KI69,5,5
6,,I-75 S,R,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,6,6
7,,I-71 S,R,Cleveland,Cuyahoga,OH,44130,US,US/Eastern,KCLE,7,7
8,,E Hanthorn Rd,R,Lima,Allen,OH,45806,US,US/Eastern,KAOH,8,8
9,,Outerbelt W,R,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,9,9
10,,I-75 N,R,Cincinnati,Hamilton,OH,45216,US,US/Eastern,KLUK,10,10
11,,Hopple St,R,Cincinnati,Hamilton,OH,45225,US,US/Eastern,KLUK,11,11
12,,I-90 E,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,12,12
13,,I-71 N,R,Jamestown,Greene,OH,45335,US,US/Eastern,KSGH,13,13
14,48999.0, Titus Rd,R,Freeport,Guernsey,OH,43973,US,US/Eastern,KPHD,14,14
15,22549.0, Cadiz Rd,L,Freeport,Harrison,OH,43973,US,US/Eastern,KPHD,15,15
16,,Outerbelt N,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,16,16
17,,Outerbelt S,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,17,17
18,,North Fwy S,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,18,18
19,,I-75 S,R,Toledo,Lucas,OH,43610,US,US/Eastern,KDUH,19,19
20,,US-33 S,R,Roanoke,Allen,IN,46783,US,US/Eastern,KFWA,20,20
21,,I-75 S,R,Ft Mitchell,Kenton,KY,41017,US,US/Eastern,KCVG,21,21
22,,North Fwy N,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,22,22
23,,I-70 E,R,Dayton,Montgomery,OH,45415,US,US/Eastern,KDAY,23,23
24,,I-75 S,R,Cincinnati,Hamilton,OH,45223,US,US/Eastern,KLUK,24,24
25,,I-65 S,R,Edinburgh,Bartholomew,IN,46124,US,US/Eastern,K1II,25,25
26,,I-675 S,R,Fairborn,Greene,OH,45324,US,US/Eastern,KFFO,26,26
27,,I-70 E,R,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,27,27
28,,US-421 S,R,Shelbyville,Shelby,IN,46176,US,US/Eastern,KGEZ,28,28
29,,I-74 W,R,Greensburg,Decatur,IN,47240,US,US/Eastern,KBAK,29,29
30,,US-421 S,R,Saint Paul,Decatur,IN,47272,US,US/Eastern,KGEZ,30,30
31,,US-35 E,R,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,31,31
32,,US-50 E,R,Parkersburg,Wood,WV,26104,US,US/Eastern,KPKB,32,32
33,5800.0, Long Lake Ln,L,Indianapolis,Marion,IN,46235,US,US/Eastern,KMQJ,33,33
34,,US-23 N,R,Dundee,Monroe,MI,48131,US,US/Eastern,KTTF,34,34
35,,I-65 S,R,Jeffersonville,Clark,IN,47130,US,US/Eastern,KLOU,35,35
36,,US-23 N,R,Dundee,Monroe,MI,48131,US,US/Eastern,KTTF,36,36
37,,I-279 N,R,Pittsburgh,Allegheny,PA,15237,US,US/Eastern,KPIT,37,37
38,,US-19 Trk S,R,Pittsburgh,Allegheny,PA,15214,US,US/Eastern,KAGC,38,38
39,9219.0, Columbus Pike,L,Lewis Center,Delaware,OH,43035,US,US/Eastern,KDLZ,39,39
40,,Northwest Fwy W,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,40,40
41,,I-76 E,R,Akron,Summit,OH,44307,US,US/Eastern,KAKR,41,41
42,9001.0, W State Road 26,R,Dunkirk,Jay,IN,47336,US,US/Eastern,KMIE,42,42
43,473.0, N Meridian St,R,Redkey,Jay,IN,47373,US,US/Eastern,KMIE,43,43
44,5149.0, S State Road 1,R,Milton,Wayne,IN,47357,US,US/Eastern,KAID,44,44
45,6114.0, S State Road 1,L,Milton,Wayne,IN,47357,US,US/Eastern,KAID,45,45
46,,W Innerbelt N,R,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,46,46
47,12998.0, State Route 49,R,Willshire,Van Wert,OH,45898,US,US/Eastern,KFWA,47,47
48,,I-70 W,R,Straughn,Henry,IN,47387,US,US/Eastern,KAID,48,48
49,,I-90 E,R,Cleveland,Cuyahoga,OH,44111,US,US/Eastern,KCLE,49,49
50,25529.0, Highway 99,L,Cambridge Springs,Crawford,PA,16403,US,US/Eastern,KGKJ,50,50
51,,I-75 N,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,51,51
52,,I-75 N,R,Dayton,Montgomery,OH,45439,US,US/Eastern,KMGY,52,52
53,,I-75 N,R,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,53,53
